country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode,is_seller,is_buyer,is_active,segment,country_en,hasAnyAppBool,activity_level
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,112,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,es,False,False,False,Ghost,Spain,False,Inactive
Canada,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,ca,False,False,False,Ghost,Canada,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Espagne,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,691,2853,95.1,7.92,es,False,False,False,Ghost,Spain,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,660,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,653,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,True,Inactive
Italie,it,3,8,5,0,0,0.0,22,0,M,1,mr,True,True,False,True,682,2853,95.1,7.92,it,False,False,False,Browser,Italy,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,True,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,es,False,False,False,Ghost,Spain,False,Inactive
Danemark,en,4,9,0,0,0,0.0,0,0,M,1,mr,True,False,True,False,618,2853,95.1,7.92,dk,False,False,False,Ghost,Denmark,True,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Egypte,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,eg,False,False,False,Ghost,Egypte,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Pays-Bas,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,692,2853,95.1,7.92,nl,False,False,False,Ghost,Netherlands,True,Inactive
Nouvelle Zélande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,nz,False,False,False,Ghost,Nouvelle Zélande,False,Inactive
France,fr,20,22,4,0,6,66.0,235,25,F,2,mrs,True,True,False,False,219,2853,95.1,7.92,fr,True,True,True,Power User,France,True,High
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,9,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,680,2853,95.1,7.92,gb,False,True,True,Buyer Only,United Kingdom,False,Low
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,692,2853,95.1,7.92,it,False,False,False,Ghost,Italy,True,Inactive
Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,691,2853,95.1,7.92,dk,False,False,False,Ghost,Denmark,True,Inactive
Belgique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,635,2853,95.1,7.92,be,False,False,False,Ghost,Belgium,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Arabie Saoudite,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,252,2853,95.1,7.92,sa,False,False,False,Ghost,Arabie Saoudite,False,Inactive
Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,dk,False,False,False,Ghost,Denmark,False,Inactive
Royaume-Uni,en,4,8,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,True,True,Buyer Only,United Kingdom,False,Low
Suède,en,3,8,125,0,0,0.0,0,1,F,2,mrs,False,False,False,True,23,2853,95.1,7.92,se,False,True,True,Buyer Only,Sweden,False,Low
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,370,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,691,2853,95.1,7.92,es,False,False,False,Ghost,Spain,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,3,0,F,2,mrs,True,True,False,True,629,2853,95.1,7.92,us,False,False,False,Ghost,United States,True,Inactive
Royaume-Uni,en,7,11,4,0,1,0.0,15,1,M,1,mr,True,False,True,True,590,2853,95.1,7.92,gb,True,True,True,Two-Way Trader,United Kingdom,True,Low
Suède,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,572,2853,95.1,7.92,se,False,False,False,Ghost,Sweden,True,Inactive
Autriche,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,273,2853,95.1,7.92,at,False,False,False,Ghost,Austria,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Allemagne,en,3,8,1,0,0,0.0,0,0,F,2,mrs,True,True,False,True,549,2853,95.1,7.92,de,False,False,False,Browser,Germany,True,Inactive
Croatie,en,3,8,8,0,0,0.0,8,0,F,2,mrs,False,False,False,True,265,2853,95.1,7.92,hr,False,False,False,Browser,Croatie,False,Inactive
Paraguay,es,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,py,False,False,False,Ghost,Paraguay,False,Inactive
Autriche,en,8,8,55,0,0,0.0,0,0,F,2,mrs,False,False,False,True,24,2853,95.1,7.92,at,False,False,False,Browser,Austria,False,Inactive
Espagne,es,4,8,1,0,0,0.0,6,0,F,2,mrs,False,False,False,False,31,2853,95.1,7.92,es,False,False,False,Browser,Spain,False,Inactive
Royaume-Uni,en,3,8,3,0,0,0.0,0,0,F,2,mrs,False,False,False,True,307,2853,95.1,7.92,gb,False,False,False,Browser,United Kingdom,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Autriche,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,at,False,False,False,Ghost,Austria,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Royaume-Uni,en,3,15,25,0,0,0.0,7,0,F,2,mrs,True,False,True,True,25,2853,95.1,7.92,gb,False,False,False,Browser,United Kingdom,True,Inactive
Royaume-Uni,en,3,8,1,0,0,0.0,0,2,F,2,mrs,False,False,False,True,15,2853,95.1,7.92,gb,False,True,True,Buyer Only,United Kingdom,False,Low
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Italie,it,3,8,0,0,0,0.0,4,1,F,2,mrs,False,False,False,True,670,2853,95.1,7.92,it,False,True,True,Buyer Only,Italy,False,Low
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Mexique,es,9,13,98,0,0,0.0,3,4,F,2,mrs,True,False,True,True,61,2853,95.1,7.92,mx,False,True,True,Buyer Only,Mexico,True,Medium
France,en,3,8,279,0,0,0.0,8,0,F,2,mrs,True,True,False,True,17,2853,95.1,7.92,fr,False,False,False,Browser,France,True,Inactive
Royaume-Uni,en,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,64,2853,95.1,7.92,gb,False,False,False,Browser,United Kingdom,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,618,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Pays-Bas,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,680,2853,95.1,7.92,nl,False,False,False,Ghost,Netherlands,False,Inactive
Royaume-Uni,en,5,9,1,0,0,0.0,16,0,F,2,mrs,True,False,True,True,251,2853,95.1,7.92,gb,False,False,False,Browser,United Kingdom,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,True,False,True,11,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,546,2853,95.1,7.92,de,False,False,False,Ghost,Germany,True,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
France,fr,3,9,24,0,1,0.0,4,1,F,2,mrs,False,False,False,True,83,2853,95.1,7.92,fr,True,True,True,Two-Way Trader,France,False,Low
Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,au,False,False,False,Ghost,Australia,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,43,2853,95.1,7.92,gb,False,False,False,Browser,United Kingdom,False,Inactive
Australie,en,3,8,19,0,0,0.0,0,0,F,2,mrs,False,False,False,True,28,2853,95.1,7.92,au,False,False,False,Browser,Australia,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,209,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Roumanie,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,True,False,True,692,2853,95.1,7.92,ro,False,False,False,Ghost,Romania,True,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Norvège,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,686,2853,95.1,7.92,no,False,False,False,Ghost,Norway,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,691,2853,95.1,7.92,us,False,False,False,Ghost,United States,True,Inactive
France,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,63,2853,95.1,7.92,fr,False,False,False,Browser,France,True,Inactive
Suède,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,309,2853,95.1,7.92,se,False,False,False,Ghost,Sweden,False,Inactive
Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,dk,False,False,False,Ghost,Denmark,False,Inactive
Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,401,2853,95.1,7.92,se,False,False,False,Ghost,Sweden,False,Inactive
Autriche,de,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,85,2853,95.1,7.92,at,False,False,False,Ghost,Austria,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,it,False,False,False,Ghost,Italy,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,True,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,437,2853,95.1,7.92,us,False,False,False,Ghost,United States,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,173,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Etats-Unis,en,17,13,48,0,0,0.0,7,2,M,1,mr,True,False,True,True,11,2853,95.1,7.92,us,False,True,True,Buyer Only,United States,True,Low
Etats-Unis,en,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,688,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,692,2853,95.1,7.92,es,False,False,False,Ghost,Spain,True,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,411,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
Belgique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,be,False,False,False,Ghost,Belgium,False,Inactive
France,fr,3,8,1,0,0,0.0,1,0,M,1,mr,True,False,True,True,680,2853,95.1,7.92,fr,False,False,False,Browser,France,True,Inactive
Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,654,2853,95.1,7.92,it,False,False,False,Ghost,Italy,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,676,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,34,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Canada,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,ca,False,False,False,Ghost,Canada,False,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,647,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,90,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Italie,it,6,9,6,0,0,0.0,39,0,F,2,mrs,True,True,False,True,18,2853,95.1,7.92,it,False,False,False,Browser,Italy,True,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,691,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,386,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
Belgique,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,True,False,True,559,2853,95.1,7.92,be,False,False,False,Ghost,Belgium,True,Inactive
